certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
"Anhui Meixiang Industrial Co., Ltd.",9108655707,https://www.certipedia.com,,"EN 15085-2:
        New build parts for railway vehicles
- Windshield frames for Railway vehicles",,"Anhui Meixiang Industrial Co., Ltd.No.35 Tongan Road, Tongcheng City,Anhui231400 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108655707?locale=en&certificate_number=T%C3%9CVRh%2F15085%2FCL1%2F644%2F0%2F19
"Anhui Meiruier Filter Co., Ltd.",9105064059,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Oil Filters, Diesel Filters and Air Dryer Cartridges",,"Anhui Meiruier Filter Co., Ltd.No. 31, Jiuzi Avenue,Xinwu Economic Development Zone,Wuhu City,241100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105064059?locale=en&certificate_number=01+111+116562
"ANHUI LEOCH RENEWABLE ENERGY DEVELOPMENT CO., LTD.",9000014588,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacture of Lithium Battery (Including Lithium Cell)",,"ANHUI LEOCH RENEWABLE ENERGY DEVELOPMENTCO., LTD.No.32, Wutong Avenue, Economic Development Zone,Huaibei City,235000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000014588?locale=en&certificate_number=01+111+2132343
Anhui Leoch Power Supply Corp.,9105070343,https://www.certipedia.com/logos/000/102/728/9105070343_en.png?1545226128,"The certificate holder's Management System corresponds to standards:
          
              ISO/TS 16949:2009
              ISO 9001:2008
              VDA 6.1","IATF 16949:
        Design and Manufacturing of Lead-Acid Batteries
      
      
        ISO 9001:
        Design and Manufacturing of  Lead-Acid Batteries for Automotive Industry","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Leoch Power Supply Corp.No.1, Yingchun Road, Suixi EconomicDevelopment Zone, Suixi County,Huaibei City,235100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105070343?locale=en&certificate_number=01+111+126410
Anhui Leoch Power Supply Corp.,9105070343,https://www.certipedia.com/logos/000/102/728/9105070343_en.png?1545226128,"The certificate holder's Management System corresponds to standards:
          
              ISO/TS 16949:2009
              ISO 9001:2008
              VDA 6.1","IATF 16949:
        Design and Manufacturing of Lead-Acid Batteries
      
      
        ISO 9001:
        Design and Manufacturing of  Lead-Acid Batteries for Automotive Industry","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Leoch Power Supply Corp.No.1, Yingchun Road, Suixi EconomicDevelopment Zone, Suixi County,Huaibei City,235100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105070343?locale=en&certificate_number=01+100+126410
Anhui Leoch Power Supply Corp.,9105070343,https://www.certipedia.com/logos/000/102/728/9105070343_en.png?1545226128,"The certificate holder's Management System corresponds to standards:
          
              ISO/TS 16949:2009
              ISO 9001:2008
              VDA 6.1","IATF 16949:
        Design and Manufacturing of Lead-Acid Batteries
      
      
        ISO 9001:
        Design and Manufacturing of  Lead-Acid Batteries for Automotive Industry","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Leoch Power Supply Corp.No.1, Yingchun Road, Suixi EconomicDevelopment Zone, Suixi County,Huaibei City,235100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105070343?locale=en&certificate_number=01+111+126410%2F901
"Anhui Konzern Package Material Co., Ltd.",9000013535,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Medical Packaging Materials",,"Anhui Konzern Package Material Co., Ltd.B6 Workshop, Kaitou IndustrialPark, Jiangnan Industry Zone,Chizhou City247100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000013535?locale=en&certificate_number=SX+2180899-1
"Anhui Kangyue New Materials Co.,Ltd",9000016009,https://www.certipedia.com,,"ISO 9001:
        Production of Sealant and Silicone Rubber",,"Anhui Kangyue New Materials Co.,LtdBuilding 2, No.488 Nanjing middle road,Demonstration Park forUndertaking Production Transfer, Ma'anshan Economic andTechnological Development Zone, AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000016009?locale=en&certificate_number=01+100+2032713
"Anhui JN Medical Device Co.,Ltd.",9000017540,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distrubution of Infusion Sets for Single Use, Scalp Vein Sets for Single Use, Transfusion Sets for Single Use, Sterile Hypodermic Syringes for Single Use, Sterile Hypodermic Needles for Single Use, Infusion Sets with Precision Filters for Single Use, Irrigation Syringes, Disposable Transfer Sets, Disposable Insulin Syringes",,"Anhui JN Medical Device Co.,Ltd.Shanghu Village,Caicun Town, Jing County,Xuancheng City,242525 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000017540?locale=en&certificate_number=SX+2172489-1
"Anhui Jiugong Wellness Industry Co., Ltd",9105061927,https://www.certipedia.com/logos/000/044/144/9105061927_en.png?1538534847,The certificate holder's Management System corresponds to standard ISO 13485:2016.,"JIS Q 13485:2005:
        Distribution  of Massage Series Products & Related Parts",,"Anhui Jiugong Wellness Industry Co.,
Ltd.Taiyanghe Road, Hex ian Economic
Development Zone238200 Maanshan, AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105061927?locale=en&certificate_number=81+105+107173+%2F+01
"Anhui JiuGong Wellness  Industry Co., Ltd.",9000016617,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Massage Series Products & Related Parts",Certificates for management system according to EN ISO 13485,"Anhui JiuGong Wellness  IndustryCo., Ltd.Taiyanghe  RoadTaiyanghe Road, Hexian Economic Development Zone,Maanshan,238200 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000016617?locale=en&certificate_number=SX+2117405-1%2F01
"Anhui jianghuai automobile group co., LTD. New energy passenger vehicles branch",9000006267,https://www.certipedia.com,,"ISO 9001:
        Manufacturing of New Energy Vehicle",,"Anhui jianghuai automobile group co.,LTD. New energy passenger vehiclesbranchNo. 9766, Susong Road, Hefei Economic andTechnological Development Zone,230000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000006267?locale=en&certificate_number=01+100+1932730
"Anhui Haoye Electric Co., Ltd.",9108631132,https://www.certipedia.com,,"ISO 9001:
        Manufacturing of Metal Film Capacitor",,"Anhui Haoye Electric Co., Ltd.Science and technology Innovation Zone,Dangtu Economic Development District.Ma An Shan City243100 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108631132?locale=en&certificate_number=01+100+1632664
Anfabo s.n.c. di Andrea e Fabrizio Boeri & C.,9000015346,https://www.certipedia.com/logos/000/463/960/9000015346_en.png?1629967047,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Production of gears, micro-gears, worm and worm gears, timing pul-leys, motor shafts precision metal parts. Precision mechanical proces-sing according to customer drawing.",,Anfabo s.n.c. di Andrea e Fabrizio Boeri& C.Via Enrico Fermi 75121042 CARONNO PERTUSELLAItaly,https://www.certipedia.com/quality_marks/9000015346?locale=en&certificate_number=39+00+0422104
Anhui Huike Bio-engineering Technology CO.LTD,9000013415,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Heat Patches",,"Anhui Huike Bio-engineering TechnologyCO.LTDA Area, EconomicDevelopment Zone, Taihe County,236600 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000013415?locale=en&certificate_number=SX+2141111-1
"Anhui Greenland Biotech Co., Ltd.",9000011947,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Denture Cleansing Tablets, Medical use Cleansing Tablets, Denture Adhesive Powder, Denture Adhesive Cushions, Denture Adhesive Cream, Plaque Disclosing Tablets",,"Anhui Greenland Biotech Co., Ltd.No. 5, Kaiyuan Rd,Mohekou Industrial Zone, Huaishang District,Bengbu233316 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000011947?locale=en&certificate_number=SX+2076245-1
"Anhui Fuyang Fengjinba Machinery & Electricity Co., Ltd.",9108628563,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Portable Tyre Pump
      
      
        ISO 9001:
        Design, Manufacturing and Sales of Direct Current Motor, Air Compressor, Tire Inflator, Wax Polisher and Vacuum Cleaner for Automotive Industry","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 9001","Anhui Fuyang FengjinbaMachinery & Electricity Co., Ltd.No. 118, Jingsai Road,No.118, Jingsai Road, Ying Dong District,Fuyang City,236000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108628563?locale=en&certificate_number=01+111+1532303
"Anhui Fuyang Fengjinba Machinery & Electricity Co., Ltd.",9108628563,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Portable Tyre Pump
      
      
        ISO 9001:
        Design, Manufacturing and Sales of Direct Current Motor, Air Compressor, Tire Inflator, Wax Polisher and Vacuum Cleaner for Automotive Industry","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 9001","Anhui Fuyang FengjinbaMachinery & Electricity Co., Ltd.No. 118, Jingsai Road,No.118, Jingsai Road, Ying Dong District,Fuyang City,236000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108628563?locale=en&certificate_number=01+111+1532303%2F901
"Anhui Fuyang Fengjinba Machinery & Electricity Co., Ltd.",9108628563,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Portable Tyre Pump
      
      
        ISO 9001:
        Design, Manufacturing and Sales of Direct Current Motor, Air Compressor, Tire Inflator, Wax Polisher and Vacuum Cleaner for Automotive Industry","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 9001","Anhui Fuyang FengjinbaMachinery & Electricity Co., Ltd.No. 118, Jingsai Road,No.118, Jingsai Road, Ying Dong District,Fuyang City,236000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108628563?locale=en&certificate_number=01+100+1532303%2F02
"Anhui Fuyang Fengjinba Machinery & Electricity Co., Ltd.",9108628563,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Portable Tyre Pump
      
      
        ISO 9001:
        Design, Manufacturing and Sales of Direct Current Motor, Air Compressor, Tire Inflator, Wax Polisher and Vacuum Cleaner for Automotive Industry","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 9001","Anhui Fuyang FengjinbaMachinery & Electricity Co., Ltd.No. 118, Jingsai Road,No.118, Jingsai Road, Ying Dong District,Fuyang City,236000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108628563?locale=en&certificate_number=01+100+1532303
"Anhui Fuhuang Steel Structure Co.,Ltd.",9000010178,https://www.certipedia.com,,"EN 1090-1:
        Range of production:
Production, Cutting-holing-shaping, Welding, Corrosion protection
      
      
        EN 1090-2:
        ???
      
      
        EN ISO 3834-2:
        Quality requirements for fusion welding of metallic materials – Comprehensive  quality requirements","Certificate for management system according to EN 1090-1
Certificate for management system according to EN 1090-2
Certificate for management system according to EN ISO 3834-2","Anhui Fuhuang Steel StructureCo.,Ltd.Fuhuang Industry ParkChaohu 238076 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000010178?locale=en&certificate_number=T%C3%9CVRh-EN1090-2%2E02826%2E2020%2E001
"Anhui Fuhuang Steel Structure Co.,Ltd.",9000010178,https://www.certipedia.com,,"EN 1090-1:
        Range of production:
Production, Cutting-holing-shaping, Welding, Corrosion protection
      
      
        EN 1090-2:
        ???
      
      
        EN ISO 3834-2:
        Quality requirements for fusion welding of metallic materials – Comprehensive  quality requirements","Certificate for management system according to EN 1090-1
Certificate for management system according to EN 1090-2
Certificate for management system according to EN ISO 3834-2","Anhui Fuhuang Steel StructureCo.,Ltd.Fuhuang Industry ParkChaohu 238076 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000010178?locale=en&certificate_number=0035-CPR-1090-1%2E02961%2ET%C3%9CVRH%2E2020%2E001
